id,type,dewey,height,depth
58050,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.2,0,16
16421,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.2,1,15
46729,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.2.1,0,16
16422,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.3,1,15
94677,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.3.1,0,16
94678,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.3.2,0,16
4365,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2,9,14
5793,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1,8,15
6827,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.1,3,16
16253,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.1.1,2,17
19473,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.1.1.1,0,18
19474,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.1.1.2,1,18
35102,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.1.1.2.1,0,19
6828,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.2,1,16
40219,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.2.1,0,17
6829,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3,7,16
8974,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1,5,17
20924,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.1,1,18
42329,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.1.1,0,19
20925,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.2,3,18
23570,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.2.1,2,19
48043,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.2.1.1,1,20
69821,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.2.1.1.1,0,21
23571,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.2.2,0,19
20926,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3,4,18
27821,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3.1,3,19
29590,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3.1.1,0,20
29591,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3.1.2,2,20
77643,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3.1.2.1,0,21
77644,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3.1.2.2,0,21
77645,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3.1.2.3,1,21
80294,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3.1.2.3.1,0,22
80295,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.1.3.1.2.3.2,0,22
8975,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2,6,17
13014,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.1,2,18
13654,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.1.1,1,19
29939,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.1.1.1,0,20
29940,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.1.1.2,0,20
13015,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2,5,18
25713,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1,4,19
36479,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.1,0,20
36480,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.2,0,20
36481,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3,3,20
49180,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3.1,2,21
80163,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3.1.1,0,22
80164,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3.1.2,1,22
95392,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3.1.2.1,0,23
95393,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3.1.2.2,0,23
80165,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3.1.3,0,22
49181,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3.2,0,21
49182,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.2.2.1.3.3,0,21
8976,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3,5,17
10033,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.1,1,18
52511,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.1.1,0,19
10034,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2,4,18
11615,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.1,3,19
45359,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.1.1,0,20
45360,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.1.2,2,20
73893,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.1.2.1,1,21
82327,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.1.2.1.1,0,22
73894,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.1.2.2,1,21
79580,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.1.2.2.1,0,22
79581,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.1.2.2.2,0,22
11616,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.2.2,0,19
10035,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.3,1,18
83853,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.3.3.3.1,0,19
4366,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3,8,14
15527,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1,7,15
20420,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.1,1,16
51404,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.1.1,0,17
51405,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.1.2,0,17
51406,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.1.3,0,17
20421,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.2,0,16
20422,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3,6,16
33738,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.1,1,17
81643,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.1.1,0,18
33739,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2,5,17
41849,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1,4,18
42840,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.1,2,19
58837,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.1.1,1,20
92109,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.1.1.1,0,21
42841,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.2,3,19
55409,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.2.1,2,20
68848,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.2.1.1,0,21
68849,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.2.1.2,1,21
84545,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.2.1.2.1,0,22
84546,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.2.1.2.2,0,22
68850,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.2.1.3,0,21
41850,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.2,0,18
41851,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.3,2,18
55186,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.3.1,1,19
75475,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.3.1.1,0,20
15528,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.2,3,15
23840,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.2.1,0,16
23841,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.2.2,2,16
58004,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.2.2.1,1,17
76264,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.2.2.1.1,0,18
76265,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.2.2.1.2,0,18
76266,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.3.2.2.1.3,0,18
2004,TreeNode,1.1.1.1.1.1.1.2.1.1.1.2,2,11
16166,TreeNode,1.1.1.1.1.1.1.2.1.1.1.2.1,1,12
51641,TreeNode,1.1.1.1.1.1.1.2.1.1.1.2.1.1,0,13
16167,TreeNode,1.1.1.1.1.1.1.2.1.1.1.2.2,1,12
29780,TreeNode,1.1.1.1.1.1.1.2.1.1.1.2.2.1,0,13
2005,TreeNode,1.1.1.1.1.1.1.2.1.1.1.3,0,11
901,TreeNode,1.1.1.1.1.1.1.2.2,16,8
1943,TreeNode,1.1.1.1.1.1.1.2.2.1,15,9
2159,TreeNode,1.1.1.1.1.1.1.2.2.1.1,12,10
8097,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1,11,11
8363,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1,5,12
13282,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.1,0,13
13283,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2,4,13
16512,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2.1,3,14
50452,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2.1.1,2,15
55760,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2.1.1.1,1,16
63759,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2.1.1.1.1,0,17
50453,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2.1.2,1,15
81151,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2.1.2.1,0,16
50454,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2.1.3,0,15
16513,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.2.2,0,14
13284,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.1.3,0,13
8364,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2,7,12
9489,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1,6,13
17162,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1,5,14
20115,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1,4,15
21289,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.1,1,16
48765,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.1.1,0,17
21290,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.2,3,16
24362,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.2.1,2,17
38827,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.2.1.1,1,18
70506,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.2.1.1.1,0,19
70507,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.2.1.1.2,0,19
38828,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.2.1.2,0,18
21291,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.3,2,16
85282,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.3.1,1,17
87465,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.3.1.1,0,18
87466,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.3.1.2,0,18
87467,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.1.3.1.3,0,18
20116,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.2,2,15
39345,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.2.1,1,16
50478,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1,0,17
39346,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.2.2,0,16
20117,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3,4,15
36591,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.1,1,16
60986,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.1.1,0,17
36592,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2,3,16
76478,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2.1,2,17
90443,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2.1.1,1,18
97418,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2.1.1.1,0,19
90444,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2.1.2,1,18
92968,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2.1.2.1,0,19
92969,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2.1.2.2,0,19
92970,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2.1.2.3,0,19
90445,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.2.1.1.3.2.1.3,0,18
8365,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3,10,12
9705,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.1,0,13
9706,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.2,1,13
18432,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.2.1,0,14
9707,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3,9,13
13150,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.1,1,14
38072,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.1.1,0,15
38073,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.1.2,0,15
13151,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2,8,14
19270,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.1,0,15
19271,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2,7,15
24834,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.1,0,16
24835,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2,6,16
34727,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1,5,17
38506,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.1,1,18
47763,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.1.1,0,19
38507,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.2,0,18
38508,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3,4,18
63836,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.1,0,19
63837,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.2,3,19
74341,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.2.1,2,20
79747,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.2.1.1,1,21
83160,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.2.1.1.1,0,22
79748,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.2.1.2,1,21
98929,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.2.1.2.1,0,22
98930,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.2.1.2.2,0,22
63838,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.1.3.3,0,19
34728,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2,2,17
48283,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2.1,1,18
93692,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2.1.1,0,19
93693,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2.1.2,0,19
93694,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2.1.3,0,19
48284,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2.2,1,18
68346,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2.2.1,0,19
68347,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2.2.2,0,19
68348,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.2.2.3,0,19
34729,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.3,1,17
66284,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.3.1,0,18
66285,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.2.3.2,0,18
24836,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.2.3,0,16
19272,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.3,1,15
56537,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.3.1,0,16
56538,TreeNode,1.1.1.1.1.1.1.2.2.1.1.1.3.3.2.3.2,0,16
8098,TreeNode,1.1.1.1.1.1.1.2.2.1.1.2,0,11
2160,TreeNode,1.1.1.1.1.1.1.2.2.1.2,14,10
3074,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1,13,11
3872,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1,12,12
7158,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1,11,13
8433,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.1,2,14
52614,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.1.1,1,15
77426,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.1.1.1,0,16
52615,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.1.2,0,15
52616,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.1.3,0,15
8434,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2,10,14
12123,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1,9,15
28563,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1,8,16
28970,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.1,1,17
69837,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.1.1,0,18
28971,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.2,2,17
58289,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.2.1,0,18
58290,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.2.2,1,18
90964,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.2.2.1,0,19
58291,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.2.3,1,18
87843,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.2.3.1,0,19
87844,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.2.3.2,0,19
87845,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.2.3.3,0,19
28972,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3,7,17
33624,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1,6,18
58109,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.1,0,19
58110,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.2,2,19
85149,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.2.1,0,20
85150,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.2.2,1,20
89325,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.2.2.1,0,21
89326,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.2.2.2,0,21
89327,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.2.2.3,0,21
85151,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.2.3,0,20
58111,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3,5,19
66295,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.1,0,20
66296,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2,4,20
68456,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.1,2,21
88833,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.1.1,1,22
93561,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.1.1.1,0,23
93562,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.1.1.2,0,23
88834,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.1.2,0,22
68457,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.2,3,21
69811,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.2.1,2,22
77287,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.2.1.1,0,23
77288,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.2.1.2,1,23
86373,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.2.1.2.1,0,24
86374,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.2.1.2.2,0,24
86375,TreeNode,1.1.1.1.1.1.1.2.2.1.2.1.1.1.2.1.1.3.1.3.2.2.1.2.3,0,24
