graph,query,scenario,parameter,value
artificial_trees_truebase_100,01_all_descendants,q03,rootid,50
artificial_trees_truebase_100,01_all_descendants,q04,rootid,77
artificial_trees_truebase_100,02_all_children,q05,rootid,50
artificial_trees_truebase_100,02_all_children,q06,rootid,81
artificial_trees_truebase_100,05_all_leaves,q01_q02,rootid,1
artificial_trees_truebase_100,05_all_leaves,q03,rootid,50
artificial_trees_truebase_100,05_all_leaves,q04,rootid,77
artificial_trees_truebase_100,11_check_if_ancestor,q07,id1,1
artificial_trees_truebase_100,11_check_if_ancestor,q07,id2,81
artificial_trees_truebase_100,11_check_if_ancestor,q08,id1,52
artificial_trees_truebase_100,11_check_if_ancestor,q08,id2,81
artificial_trees_truebase_100,11_check_if_ancestor,q09,id1,2
artificial_trees_truebase_100,11_check_if_ancestor,q09,id2,3
artificial_trees_truebase_100,11_check_if_ancestor,q10,id1,81
artificial_trees_truebase_100,11_check_if_ancestor,q10,id2,86
artificial_trees_truebase_1000,01_all_descendants,q01_q02,rootid,1
artificial_trees_truebase_1000,01_all_descendants,q03,rootid,470
artificial_trees_truebase_1000,01_all_descendants,q04,rootid,807
artificial_trees_truebase_1000,02_all_children,q05,rootid,470
artificial_trees_truebase_1000,02_all_children,q06,rootid,901
artificial_trees_truebase_1000,05_all_leaves,q01_q02,rootid,1
artificial_trees_truebase_1000,05_all_leaves,q03,rootid,470
artificial_trees_truebase_1000,05_all_leaves,q04,rootid,807
artificial_trees_truebase_1000,11_check_if_ancestor,q07,id1,1
artificial_trees_truebase_1000,11_check_if_ancestor,q07,id2,901
artificial_trees_truebase_1000,11_check_if_ancestor,q08,id1,807
artificial_trees_truebase_1000,11_check_if_ancestor,q08,id2,901
artificial_trees_truebase_1000,11_check_if_ancestor,q09,id1,2
artificial_trees_truebase_1000,11_check_if_ancestor,q09,id2,3
artificial_trees_truebase_1000,11_check_if_ancestor,q10,id1,808
artificial_trees_truebase_1000,11_check_if_ancestor,q10,id2,901
artificial_trees_truebase_10000,01_all_descendants,q01_q02,rootid,1
artificial_trees_truebase_10000,01_all_descendants,q03,rootid,7901
artificial_trees_truebase_10000,01_all_descendants,q04,rootid,3236
artificial_trees_truebase_10000,02_all_children,q05,rootid,7901
artificial_trees_truebase_10000,02_all_children,q06,rootid,8065
artificial_trees_truebase_10000,05_all_leaves,q01_q02,rootid,1
artificial_trees_truebase_10000,05_all_leaves,q03,rootid,7901
artificial_trees_truebase_10000,05_all_leaves,q04,rootid,3236
artificial_trees_truebase_10000,11_check_if_ancestor,q07,id1,1
artificial_trees_truebase_10000,11_check_if_ancestor,q07,id2,8065
artificial_trees_truebase_10000,11_check_if_ancestor,q08,id1,7901
artificial_trees_truebase_10000,11_check_if_ancestor,q08,id2,8065
artificial_trees_truebase_10000,11_check_if_ancestor,q09,id1,2
artificial_trees_truebase_10000,11_check_if_ancestor,q09,id2,3
artificial_trees_truebase_10000,11_check_if_ancestor,q10,id1,4567
artificial_trees_truebase_10000,11_check_if_ancestor,q10,id2,8065
artificial_trees_truebase_100000,01_all_descendants,q01_q02,rootid,1
artificial_trees_truebase_100000,01_all_descendants,q03,rootid,80081
artificial_trees_truebase_100000,01_all_descendants,q04,rootid,73063
artificial_trees_truebase_100000,02_all_children,q05,rootid,80081
artificial_trees_truebase_100000,02_all_children,q06,rootid,88402
artificial_trees_truebase_100000,05_all_leaves,q01_q02,rootid,1
artificial_trees_truebase_100000,05_all_leaves,q03,rootid,80081
artificial_trees_truebase_100000,05_all_leaves,q04,rootid,73063
artificial_trees_truebase_100000,11_check_if_ancestor,q07,id1,1
artificial_trees_truebase_100000,11_check_if_ancestor,q07,id2,88402
artificial_trees_truebase_100000,11_check_if_ancestor,q08,id1,77364
artificial_trees_truebase_100000,11_check_if_ancestor,q08,id2,88402
artificial_trees_truebase_100000,11_check_if_ancestor,q09,id1,2
artificial_trees_truebase_100000,11_check_if_ancestor,q09,id2,3
artificial_trees_truebase_100000,11_check_if_ancestor,q10,id1,87345
artificial_trees_truebase_100000,11_check_if_ancestor,q10,id2,88402
artificial_trees_ultratall_10,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultratall_10,01_all_descendants,q03,rootid,4
artificial_trees_ultratall_10,01_all_descendants,q04,rootid,6
artificial_trees_ultratall_10,02_all_children,q05,rootid,4
artificial_trees_ultratall_10,02_all_children,q06,rootid,8
artificial_trees_ultratall_10,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultratall_10,05_all_leaves,q03,rootid,4
artificial_trees_ultratall_10,05_all_leaves,q04,rootid,6
artificial_trees_ultratall_10,11_check_if_ancestor,q07,id1,1
artificial_trees_ultratall_10,11_check_if_ancestor,q07,id2,8
artificial_trees_ultratall_10,11_check_if_ancestor,q08,id1,6
artificial_trees_ultratall_10,11_check_if_ancestor,q08,id2,8
artificial_trees_ultratall_10,11_check_if_ancestor,q09,id1,3
artificial_trees_ultratall_10,11_check_if_ancestor,q09,id2,4
artificial_trees_ultratall_10,11_check_if_ancestor,q10,id1,3
artificial_trees_ultratall_10,11_check_if_ancestor,q10,id2,8
artificial_trees_ultratall_100,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultratall_100,01_all_descendants,q03,rootid,47
artificial_trees_ultratall_100,01_all_descendants,q04,rootid,55
artificial_trees_ultratall_100,02_all_children,q05,rootid,47
artificial_trees_ultratall_100,02_all_children,q06,rootid,48
artificial_trees_ultratall_100,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultratall_100,05_all_leaves,q03,rootid,47
artificial_trees_ultratall_100,05_all_leaves,q04,rootid,55
artificial_trees_ultratall_100,11_check_if_ancestor,q07,id1,1
artificial_trees_ultratall_100,11_check_if_ancestor,q07,id2,48
artificial_trees_ultratall_100,11_check_if_ancestor,q08,id1,45
artificial_trees_ultratall_100,11_check_if_ancestor,q08,id2,48
artificial_trees_ultratall_100,11_check_if_ancestor,q09,id1,3
artificial_trees_ultratall_100,11_check_if_ancestor,q09,id2,4
artificial_trees_ultratall_100,11_check_if_ancestor,q10,id1,48
artificial_trees_ultratall_100,11_check_if_ancestor,q10,id2,83
artificial_trees_ultratall_1000,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultratall_1000,01_all_descendants,q03,rootid,707
artificial_trees_ultratall_1000,01_all_descendants,q04,rootid,833
artificial_trees_ultratall_1000,02_all_children,q05,rootid,707
artificial_trees_ultratall_1000,02_all_children,q06,rootid,961
artificial_trees_ultratall_1000,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultratall_1000,05_all_leaves,q03,rootid,707
artificial_trees_ultratall_1000,05_all_leaves,q04,rootid,833
artificial_trees_ultratall_1000,11_check_if_ancestor,q07,id1,1
artificial_trees_ultratall_1000,11_check_if_ancestor,q07,id2,961
artificial_trees_ultratall_1000,11_check_if_ancestor,q08,id1,833
artificial_trees_ultratall_1000,11_check_if_ancestor,q08,id2,961
artificial_trees_ultratall_1000,11_check_if_ancestor,q09,id1,2
artificial_trees_ultratall_1000,11_check_if_ancestor,q09,id2,3
artificial_trees_ultratall_1000,11_check_if_ancestor,q10,id1,917
artificial_trees_ultratall_1000,11_check_if_ancestor,q10,id2,961
artificial_trees_ultratall_10000,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultratall_10000,01_all_descendants,q03,rootid,5274
artificial_trees_ultratall_10000,01_all_descendants,q04,rootid,7504
artificial_trees_ultratall_10000,02_all_children,q05,rootid,5274
artificial_trees_ultratall_10000,02_all_children,q06,rootid,7043
artificial_trees_ultratall_10000,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultratall_10000,05_all_leaves,q03,rootid,5274
artificial_trees_ultratall_10000,05_all_leaves,q04,rootid,7504
artificial_trees_ultratall_10000,11_check_if_ancestor,q07,id1,1
artificial_trees_ultratall_10000,11_check_if_ancestor,q07,id2,7043
artificial_trees_ultratall_10000,11_check_if_ancestor,q08,id1,7018
artificial_trees_ultratall_10000,11_check_if_ancestor,q08,id2,7043
artificial_trees_ultratall_10000,11_check_if_ancestor,q09,id1,2
artificial_trees_ultratall_10000,11_check_if_ancestor,q09,id2,3
artificial_trees_ultratall_10000,11_check_if_ancestor,q10,id1,7043
artificial_trees_ultratall_10000,11_check_if_ancestor,q10,id2,9616
artificial_trees_ultratall_100000,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultratall_100000,01_all_descendants,q03,rootid,72768
artificial_trees_ultratall_100000,01_all_descendants,q04,rootid,81383
artificial_trees_ultratall_100000,02_all_children,q05,rootid,72768
artificial_trees_ultratall_100000,02_all_children,q06,rootid,98900
artificial_trees_ultratall_100000,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultratall_100000,05_all_leaves,q03,rootid,72768
artificial_trees_ultratall_100000,05_all_leaves,q04,rootid,81383
artificial_trees_ultratall_100000,11_check_if_ancestor,q07,id1,1
artificial_trees_ultratall_100000,11_check_if_ancestor,q07,id2,98900
artificial_trees_ultratall_100000,11_check_if_ancestor,q08,id1,81383
artificial_trees_ultratall_100000,11_check_if_ancestor,q08,id2,98900
artificial_trees_ultratall_100000,11_check_if_ancestor,q09,id1,2
artificial_trees_ultratall_100000,11_check_if_ancestor,q09,id2,3
artificial_trees_ultratall_100000,11_check_if_ancestor,q10,id1,86555
artificial_trees_ultratall_100000,11_check_if_ancestor,q10,id2,98900
artificial_trees_ultrawide_10,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultrawide_10,01_all_descendants,q03,rootid,2
artificial_trees_ultrawide_10,01_all_descendants,q04,rootid,4
artificial_trees_ultrawide_10,02_all_children,q05,rootid,2
artificial_trees_ultrawide_10,02_all_children,q06,rootid,8
artificial_trees_ultrawide_10,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultrawide_10,05_all_leaves,q03,rootid,2
artificial_trees_ultrawide_10,05_all_leaves,q04,rootid,4
artificial_trees_ultrawide_10,11_check_if_ancestor,q07,id1,1
artificial_trees_ultrawide_10,11_check_if_ancestor,q07,id2,8
artificial_trees_ultrawide_10,11_check_if_ancestor,q08,id1,5
artificial_trees_ultrawide_10,11_check_if_ancestor,q08,id2,8
artificial_trees_ultrawide_10,11_check_if_ancestor,q09,id1,2
artificial_trees_ultrawide_10,11_check_if_ancestor,q09,id2,3
artificial_trees_ultrawide_10,11_check_if_ancestor,q10,id1,8
artificial_trees_ultrawide_10,11_check_if_ancestor,q10,id2,10
artificial_trees_ultrawide_100,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultrawide_100,01_all_descendants,q03,rootid,7
artificial_trees_ultrawide_100,01_all_descendants,q04,rootid,16
artificial_trees_ultrawide_100,02_all_children,q05,rootid,7
artificial_trees_ultrawide_100,02_all_children,q06,rootid,60
artificial_trees_ultrawide_100,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultrawide_100,05_all_leaves,q03,rootid,7
artificial_trees_ultrawide_100,05_all_leaves,q04,rootid,16
artificial_trees_ultrawide_100,11_check_if_ancestor,q07,id1,1
artificial_trees_ultrawide_100,11_check_if_ancestor,q07,id2,60
artificial_trees_ultrawide_100,11_check_if_ancestor,q08,id1,47
artificial_trees_ultrawide_100,11_check_if_ancestor,q08,id2,60
artificial_trees_ultrawide_100,11_check_if_ancestor,q09,id1,2
artificial_trees_ultrawide_100,11_check_if_ancestor,q09,id2,3
artificial_trees_ultrawide_100,11_check_if_ancestor,q10,id1,60
artificial_trees_ultrawide_100,11_check_if_ancestor,q10,id2,68
artificial_trees_ultrawide_1000,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultrawide_1000,01_all_descendants,q03,rootid,606
artificial_trees_ultrawide_1000,01_all_descendants,q04,rootid,483
artificial_trees_ultrawide_1000,02_all_children,q05,rootid,606
artificial_trees_ultrawide_1000,02_all_children,q06,rootid,707
artificial_trees_ultrawide_1000,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultrawide_1000,05_all_leaves,q03,rootid,606
artificial_trees_ultrawide_1000,05_all_leaves,q04,rootid,483
artificial_trees_ultrawide_1000,11_check_if_ancestor,q07,id1,1
artificial_trees_ultrawide_1000,11_check_if_ancestor,q07,id2,707
artificial_trees_ultrawide_1000,11_check_if_ancestor,q08,id1,680
artificial_trees_ultrawide_1000,11_check_if_ancestor,q08,id2,707
artificial_trees_ultrawide_1000,11_check_if_ancestor,q09,id1,2
artificial_trees_ultrawide_1000,11_check_if_ancestor,q09,id2,3
artificial_trees_ultrawide_1000,11_check_if_ancestor,q10,id1,707
artificial_trees_ultrawide_1000,11_check_if_ancestor,q10,id2,734
artificial_trees_ultrawide_10000,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultrawide_10000,01_all_descendants,q03,rootid,7322
artificial_trees_ultrawide_10000,01_all_descendants,q04,rootid,6738
artificial_trees_ultrawide_10000,02_all_children,q05,rootid,7322
artificial_trees_ultrawide_10000,02_all_children,q06,rootid,8782
artificial_trees_ultrawide_10000,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultrawide_10000,05_all_leaves,q03,rootid,7322
artificial_trees_ultrawide_10000,05_all_leaves,q04,rootid,6738
artificial_trees_ultrawide_10000,11_check_if_ancestor,q07,id1,1
artificial_trees_ultrawide_10000,11_check_if_ancestor,q07,id2,8782
artificial_trees_ultrawide_10000,11_check_if_ancestor,q08,id1,7144
artificial_trees_ultrawide_10000,11_check_if_ancestor,q08,id2,8782
artificial_trees_ultrawide_10000,11_check_if_ancestor,q09,id1,2
artificial_trees_ultrawide_10000,11_check_if_ancestor,q09,id2,3
artificial_trees_ultrawide_10000,11_check_if_ancestor,q10,id1,6057
artificial_trees_ultrawide_10000,11_check_if_ancestor,q10,id2,8782
artificial_trees_ultrawide_100000,01_all_descendants,q01_q02,rootid,1
artificial_trees_ultrawide_100000,01_all_descendants,q03,rootid,40712
artificial_trees_ultrawide_100000,01_all_descendants,q04,rootid,45817
artificial_trees_ultrawide_100000,02_all_children,q05,rootid,40712
artificial_trees_ultrawide_100000,02_all_children,q06,rootid,87291
artificial_trees_ultrawide_100000,05_all_leaves,q01_q02,rootid,1
artificial_trees_ultrawide_100000,05_all_leaves,q03,rootid,40712
artificial_trees_ultrawide_100000,05_all_leaves,q04,rootid,45817
artificial_trees_ultrawide_100000,11_check_if_ancestor,q07,id1,1
artificial_trees_ultrawide_100000,11_check_if_ancestor,q07,id2,87291
artificial_trees_ultrawide_100000,11_check_if_ancestor,q08,id1,79829
artificial_trees_ultrawide_100000,11_check_if_ancestor,q08,id2,87291
artificial_trees_ultrawide_100000,11_check_if_ancestor,q09,id1,2
artificial_trees_ultrawide_100000,11_check_if_ancestor,q09,id2,3
artificial_trees_ultrawide_100000,11_check_if_ancestor,q10,id1,63981
artificial_trees_ultrawide_100000,11_check_if_ancestor,q10,id2,87291
snb_sf1_comment,01_all_descendants,q01,rootid,1786706402710
snb_sf1_comment,01_all_descendants,q02,rootid,549757114011
snb_sf1_comment,01_all_descendants,q03,rootid,1374389854634
snb_sf1_comment,01_all_descendants,q04,rootid,549757114025
snb_sf1_comment,02_all_children,q05,rootid,1374389854634
snb_sf1_comment,02_all_children,q06,rootid,549757114029
snb_sf1_comment,05_all_leaves,q01,rootid,1786706402710
snb_sf1_comment,05_all_leaves,q02,rootid,549757114011
snb_sf1_comment,05_all_leaves,q03,rootid,1374389854634
snb_sf1_comment,05_all_leaves,q04,rootid,549757114025
snb_sf1_comment,11_check_if_ancestor,q07,id1,549757114011
snb_sf1_comment,11_check_if_ancestor,q07,id2,549757114029
snb_sf1_comment,11_check_if_ancestor,q08,id1,549757114025
snb_sf1_comment,11_check_if_ancestor,q08,id2,549757114029
snb_sf1_comment,11_check_if_ancestor,q09,id1,557
snb_sf1_comment,11_check_if_ancestor,q09,id2,558
snb_sf1_comment,11_check_if_ancestor,q10,id1,549757114029
snb_sf1_comment,11_check_if_ancestor,q10,id2,1374390095034
snb_sf1_place,01_all_descendants,q01_q02,rootid,1455
snb_sf1_place,01_all_descendants,q03,rootid,1
snb_sf1_place,01_all_descendants,q04,rootid,3
snb_sf1_place,02_all_children,q05,rootid,1
snb_sf1_place,02_all_children,q06,rootid,112
snb_sf1_place,05_all_leaves,q01_q02,rootid,1455
snb_sf1_place,05_all_leaves,q03,rootid,1
snb_sf1_place,05_all_leaves,q04,rootid,3
snb_sf1_place,11_check_if_ancestor,q07,id1,1455
snb_sf1_place,11_check_if_ancestor,q07,id2,112
snb_sf1_place,11_check_if_ancestor,q08,id1,1
snb_sf1_place,11_check_if_ancestor,q08,id2,112
snb_sf1_place,11_check_if_ancestor,q09,id1,1455
snb_sf1_place,11_check_if_ancestor,q09,id2,1456
snb_sf1_place,11_check_if_ancestor,q10,id1,112
snb_sf1_place,11_check_if_ancestor,q10,id2,509
snb_sf1_tagclass,01_all_descendants,q01_q02,rootid,1
snb_sf1_tagclass,01_all_descendants,q03,rootid,212
snb_sf1_tagclass,01_all_descendants,q04,rootid,48
snb_sf1_tagclass,02_all_children,q05,rootid,212
snb_sf1_tagclass,02_all_children,q06,rootid,47
snb_sf1_tagclass,05_all_leaves,q01_q02,rootid,1
snb_sf1_tagclass,05_all_leaves,q03,rootid,212
snb_sf1_tagclass,05_all_leaves,q04,rootid,48
snb_sf1_tagclass,11_check_if_ancestor,q07,id1,1
snb_sf1_tagclass,11_check_if_ancestor,q07,id2,47
snb_sf1_tagclass,11_check_if_ancestor,q08,id1,201
snb_sf1_tagclass,11_check_if_ancestor,q08,id2,47
snb_sf1_tagclass,11_check_if_ancestor,q09,id1,189
snb_sf1_tagclass,11_check_if_ancestor,q09,id2,240
snb_sf1_tagclass,11_check_if_ancestor,q10,id1,47
snb_sf1_tagclass,11_check_if_ancestor,q10,id2,234
